0022-0750-0076;0022-0750;c;75076;True;;22-750-76;22-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;8;0;0;231;0;0;0;0;231
0022-0752;0022;b;752;False;;22-752;22;Dział 752;Obrona narodowa;9;0;0;2936;0;0;0;0;2936
0022-0752-0012;0022-0752;c;75212;True;;22-752-12;22-752;Rozdział 75212;Pozostałe wydatki obronne;10;0;0;2936;0;0;0;0;2936
0024;;a;24;False;;24;;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;1;1323073;9363;815279;189385;0;0;133564;2470664
0024-0750;0024;b;750;False;;24-750;24;Dział 750;Administracja publiczna;2;9205;42;47931;3750;0;0;5944;66872
0024-0750-0001;0024-0750;c;75001;True;;24-750-01;24-750;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;3;0;42;45112;3750;0;0;5944;54848
0024-0750-0076;0024-0750;c;75076;True;;24-750-76;24-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;4;9205;0;2334;0;0;0;0;11539
0024-0750-0095;0024-0750;c;75095;True;;24-750-95;24-750;Rozdział 75095;Pozostała działalność;5;0;0;485;0;0;0;0;485
0024-0752;0024;b;752;False;;24-752;24;Dział 752;Obrona narodowa;6;0;0;92;0;0;0;0;92
0024-0752-0012;0024-0752;c;75212;True;;24-752-12;24-752;Rozdział 75212;Pozostałe wydatki obronne;7;0;0;92;0;0;0;0;92
0024-0754;0024;b;754;False;;24-754;24;Dział 754;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;8;0;0;40;0;0;0;0;40
0024-0754-0014;0024-0754;c;75414;True;;24-754-14;24-754;Rozdział 75414;Obrona cywilna;9;0;0;10;0;0;0;0;10
0024-0754-0021;0024-0754;c;75421;True;;24-754-21;24-754;Rozdział 75421;Zarządzanie kryzysowe;10;0;0;30;0;0;0;0;30
0024-0801;0024;b;801;False;;24-801;24;Dział 801;Oświata i wychowanie;11;19345;2385;624842;11740;0;0;9620;667932
0024-0801-0032;0024-0801;c;80132;True;;24-801-32;24-801;Rozdział 80132;Szkoły artystyczne;12;19345;1975;610105;11620;0;0;9620;652665
0024-0801-0043;0024-0801;c;80143;True;;24-801-43;24-801;Rozdział 80143;Jednostki pomocnicze szkolnictwa;13;0;5;5408;0;0;0;0;5413
0024-0801-0046;0024-0801;c;80146;True;;24-801-46;24-801;Rozdział 80146;Dokształcanie i doskonalenie nauczycieli;14;0;1;5711;120;0;0;0;5832
0024-0801-0048;0024-0801;c;80148;True;;24-801-48;24-801;Rozdział 80148;Stołówki szkolne i przedszkolne;15;0;4;817;0;0;0;0;821
0024-0801-0095;0024-0801;c;80195;True;;24-801-95;24-801;Rozdział 80195;Pozostała działalność;16;0;400;2801;0;0;0;0;3201
0024-0803;0024;b;803;False;;24-803;24;Dział 803;Szkolnictwo wyższe;17;431882;2620;200;12600;0;0;44658;491960
0024-0803-0006;0024-0803;c;80306;True;;24-803-06;24-803;Rozdział 80306;Działalność dydaktyczna;18;407027;220;0;12600;0;0;44658;464505
0024-0803-0009;0024-0803;c;80309;True;;24-803-09;24-803;Rozdział 80309;Pomoc materialna dla studentów i doktorantów;19;24855;2000;0;0;0;0;0;26855
