INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;13;;;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne;75302;;;;0;2095;0;0;0;0;0;2095
RZECZNIK PRAW DZIECKA;14;;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;75101;;;;3;8337;200;0;0;0;0;8540
SĄDY POWSZECHNE;15;Ministerstwo Sprawiedliwości;15/01;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;6922;0;0;0;0;0;6922
SĄDY POWSZECHNE;15;Ministerstwo Sprawiedliwości;15/01;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;0;92296;91500;0;0;0;183796
SĄDY POWSZECHNE;15;Ministerstwo Sprawiedliwości;15/01;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;0;2398;0;0;0;0;2398
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Warszawie;15/02;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;20691;0;0;0;0;0;20691
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Warszawie;15/02;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;15408;509554;71309;0;0;0;596271
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Warszawie;15/02;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;8141;0;0;0;0;8141
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Warszawie;15/02;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;3;2768;0;0;0;0;2771
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Katowicach;15/03;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;19655;0;0;0;0;0;19655
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Katowicach;15/03;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;27285;602669;22109;0;0;0;652063
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Katowicach;15/03;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;6307;0;0;0;0;6307
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Katowicach;15/03;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;8;5119;0;0;0;0;5127
