"Grupa paragrafów";"Rodzaj finansowania wydatków";"Plan po zmianach";"Zaangażowanie";"Wykonanie wydatków";"Zobowiązania ogółem";"Zobowiązania wymagalne powstałe w latach ubiegłych";"Zobowiązania wymagalne powstałe w roku bieżącym";"Wydatki które nie wygasły z upływem bieżącego roku budżetowego"
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";25000;21064;21064;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";67000;56557;56557;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";20000;1803;1803;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";60000;44021;44021;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";88000;48922;48922;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";312000;304575;304575;0;0;0;0
"";"";6800000;6759272;6759272;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6680000;6668770;6668770;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";115000;89503;89503;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5000;999;999;0;0;0;0
"";"";2040000;1559203;1559203;35903;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";3000;0;0;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";560000;506242;506242;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";592000;586622;586622;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";36000;35710;35710;30152;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";180000;92726;92726;4803;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";35000;12648;12648;518;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7000;5180;5180;430;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";132000;131424;131424;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";55000;15510;15510;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";13000;4440;4440;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";20000;17291;17291;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";311000;114940;114940;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4000;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5000;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";23000;5360;5360;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7000;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1000;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";25000;20604;20604;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2000;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1000;3;3;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8000;6287;6287;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4000;264;264;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";10000;2932;2932;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6000;1021;1021;0;0;0;0
"";"";42000000;42000000;42000000;0;0;0;0
"";"";42000000;42000000;42000000;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";42000000;42000000;42000000;0;0;0;0
"";"";383542000;360500450;359845598;12345023;0;0;0
"";"";383542000;360500450;359845598;12345023;0;0;0
"";"";383542000;360500450;359845598;12345023;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";1160000;1016524;997919;18605;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";77766000;77375836;77369839;5997;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";177000;126359;126359;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";20000;18152;18152;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";165513000;163069739;163069739;1685376;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7883000;7879329;7879329;7939453;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1534000;1189487;1189023;464;0;0;0
"";"";1296;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";24187000;19859300;19859300;1456011;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3678000;3159529;3159529;181901;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";589000;588249;588249;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5130000;4021004;4019193;3623;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6743000;6018356;5995649;51035;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";366000;330063;324849;5243;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5430000;4717944;4446356;537253;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6326000;5233141;5197893;47747;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";381000;290440;287830;2610;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";24302000;19737424;19503397;271279;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2744000;2685334;2677085;8250;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";187000;83696;83696;7426;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";424000;325770;320677;23603;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1055000;628553;625502;29250;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";604000;463739;461470;2269;0;0;0
