"Grupa paragrafów";"Rodzaj finansowania wydatków";"Plan po zmianach";"Zaangażowanie";"Wykonanie wydatków";"Zobowiązania ogółem";"Zobowiązania wymagalne powstałe w latach ubiegłych";"Zobowiązania wymagalne powstałe w roku bieżącym";"Wydatki które nie wygasły z upływem bieżącego roku budżetowego"
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1000;529;529;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";3400000;1407196;1407196;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";854364;569657;569657;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";170000;0;0;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";87315;36737;36737;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1000;457;457;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";151300;133457;133457;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";26700;23551;23551;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";1660000;210870;210870;0;0;0;0
"";"";56221140;43257962;43257962;2556864;6;0;0
"";"";55660140;43044603;43044603;2556864;6;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";235000;221561;221561;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";10000;9670;9670;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";5100;825;825;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";900;146;146;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2072000;2023438;2023438;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";18118228;18054598;18054598;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie z innych środków bezzwrotnych";113000;60168;60168;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie innych środków bezzwrotnych";20000;10618;10618;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";4676983;4276460;4276460;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";946585;772059;772059;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1573150;1391515;1391515;1405066;6;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie z innych środków bezzwrotnych";10000;3846;3846;4612;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie innych środków bezzwrotnych";2000;679;679;814;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";403064;320197;320197;313598;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";71011;56505;56505;55537;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3453374;2986406;2986406;213429;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie z innych środków bezzwrotnych";19000;9724;9724;701;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie innych środków bezzwrotnych";3000;1716;1716;124;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";833324;673979;673979;47636;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";183293;122331;122331;8436;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";576867;379369;379369;24895;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie z innych środków bezzwrotnych";3000;1568;1568;113;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie innych środków bezzwrotnych";1000;277;277;20;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";136772;106356;106356;7073;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";32489;19225;19225;1253;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";243000;240015;240015;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";625000;536515;536515;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie z innych środków bezzwrotnych";10000;4463;4463;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie innych środków bezzwrotnych";2000;788;788;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";711700;397375;397375;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";190300;90030;90030;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1113000;568479;568479;17245;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";176000;101475;101475;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8000;3666;3666;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";35745;18189;18189;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";20000;9368;9368;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";300;0;0;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";47700;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";600000;421423;421423;72090;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";85950;61363;61363;3588;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";16050;10829;10829;633;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";800000;150484;150484;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";150000;50817;50817;3000;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6065150;2337920;2337920;307889;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";1388500;785546;785546;7864;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";325200;145353;145353;1388;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";50000;29914;29914;3190;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";36000;24391;24391;2525;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";8000;4304;4304;446;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";120000;107293;107293;11329;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";25000;18566;18566;1426;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";6000;3276;3276;252;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";310000;197254;197254;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";24750;15299;15299;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";6550;2700;2700;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";211000;10919;10919;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie z innych środków bezzwrotnych";2000;0;0;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";173000;0;0;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";30000;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";520000;503158;503158;3231;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";2072500;1497507;1497507;14364;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";371500;264266;264266;2535;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";400000;191226;191226;5444;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";275900;69879;69879;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";57100;12332;12332;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1400000;890426;890426;3843;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";47000;13923;13923;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";15000;6481;6481;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";50000;25893;25893;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";428042;428042;428042;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";71000;57100;57100;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";645000;237297;237297;8154;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";235750;88908;88908;2032;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";66250;17488;17488;359;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";11808;11808;11808;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";90000;11732;11732;734;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";8050;0;0;0;0;0;0
"";"";497798000;334795000;334795000;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";1950;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";100000;52419;52419;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";13000;7420;7420;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";2255;1455;1455;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";84000;82488;82488;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";274000;6025;6025;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";78000;1367;1367;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";945000;495630;495630;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Finansowanie programów i projektów ze środków funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną, z wyłączeniem budżetu środków europejskich";231000;177617;177617;0;0;0;0
"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Współfinansowanie programów i projektów realizowanych ze środków z funduszy strukturalnych, Funduszu Spójności, Europejskiego Funduszu Rybackiego oraz z funduszy unijnych finansujących Wspólną Politykę Rolną";51000;41469;41469;0;0;0;0
"";"";561000;213359;213359;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";195000;12718;12718;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";65000;48800;48800;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";10000;2077;2077;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";119000;56495;56495;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";64000;0;0;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";108000;93269;93269;0;0;0;0
"";"";154015000;153862867;153862867;0;0;0;0
"";"";15000;7480;7480;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1500;1500;1500;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8500;2980;2980;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5000;3000;3000;0;0;0;0
"";"";154000000;153855387;153855387;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";154000000;153855387;153855387;0;0;0;0
"";"";23137000;21666698;21666698;0;0;0;0
"";"";23137000;21666698;21666698;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";6226000;6225714;6225714;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";16911000;15440984;15440984;0;0;0;0
"";"";25474682127;25001157114;25001071844;641870719;0;66985;0
"";"";497798000;334795000;334795000;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";477798000;314795000;314795000;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";20000000;20000000;20000000;0;0;0;0
"";"";959000;849268;849268;0;0;0;0
"";"";959000;849268;849268;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";959000;849268;849268;0;0;0;0
"";"";264674223;254824127;254744116;11592787;0;0;0
"";"";204761900;200531318;200504751;10819320;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";35085;35084;35084;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";42842;42842;42842;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";347916;347915;347915;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";29320;29319;29319;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1038818;1036327;1036327;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";46608851;46599439;46599439;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3143106;3143106;3143105;3018191;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";90186662;90135766;90135766;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1351956;1351794;1351794;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8100388;8100388;8100388;7111958;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7120937;7120937;7119129;457368;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";966668;966668;966375;59185;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";556150;556150;556150;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";570242;570239;570239;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4253088;4173668;4173668;216;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4684657;4684657;4684654;129329;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2792467;2292467;2285794;7853;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";299793;299793;299792;1011;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";18016777;18016776;18008259;19982;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";29933;29933;29933;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";19826;19826;19825;1266;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8662;8662;8662;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1179090;1179090;1179088;596;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4310514;3810514;3801248;9399;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";190;190;190;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";803261;803261;803261;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";501804;501803;501803;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";494413;494413;494413;2967;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";236375;236375;236375;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";160109;160108;160108;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";1960000;1543385;1543385;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";4912000;2240422;2240422;0;0;0;0
"";"";39547829;38014284;37960840;773467;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";13574000;13565946;13561158;4788;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";449454;449453;449453;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";79000;61262;25654;35608;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8570000;8569283;8569283;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";350000;288733;288733;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";710829;710829;710829;712808;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";124891;124891;124890;5409;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";19872;19872;19871;872;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";9818;9818;9818;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";40000;35060;35060;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";555523;555522;555522;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3000;2308;2308;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";13189896;11888036;11874991;13045;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";430510;430510;430509;937;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";169407;169406;169406;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";10767;10766;10766;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4768;4767;4767;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";98094;98093;98093;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";1158000;1019728;1019728;0;0;0;0
"";"";20110494;16047839;16047839;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";20110494;16047839;16047839;0;0;0;0
"";"";254000;230687;230687;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";419;419;419;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";222327;222326;222326;0;0;0;0
