"Część";"Numer części";"Część";"Numer części";"Dział";"Numer działu";"Rozdział";"Numer rozdziału";"Dotacje i subwencje";"Świadczenia na rzecz osób fizycznych";"Wydatki bieżące jednostek budżetowych";"Wydatki majątkowe";"Wydatki na obsługę długu Skarbu Państwa";"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Środki własne Unii Europejskiej";"Ogółem (w tys. zł.)"
"ZDROWIE";46;"Szkolnictwo wyższe";803;"Działalność dydaktyczna";80306;"";"";1224818;533;0;35000;0;9138;0;1269489
"ZDROWIE";46;"Szkolnictwo wyższe";803;"Pomoc materialna dla studentów i doktorantów";80309;"";"";92438;2219;0;0;0;0;0;94657
"ZDROWIE";46;"Szkolnictwo wyższe";803;"Pozostała działalność";80395;"";"";0;0;27;0;0;0;0;27
"ZDROWIE";46;"Ochrona zdrowia";851;"";"";"";"";401385;943;962979;806722;0;72161;0;2244190
"ZDROWIE";46;"Ochrona zdrowia";851;"Szpitale kliniczne";85112;"";"";0;0;0;531097;0;3219;0;534316
"ZDROWIE";46;"Ochrona zdrowia";851;"Zakłady opiekuńczo-lecznicze i pielęgnacyjno-opiekuńcze";85117;"";"";0;0;7344;200;0;0;0;7544
"ZDROWIE";46;"Ochrona zdrowia";851;"Lecznictwo psychiatryczne";85120;"";"";0;23;36514;350;0;0;0;36887
"ZDROWIE";46;"Ochrona zdrowia";851;"Inspekcja Sanitarna ";85132;"";"";0;29;32055;865;0;0;0;32949
"ZDROWIE";46;"Ochrona zdrowia";851;"Inspekcja Farmaceutyczna";85133;"";"";0;5;12449;0;0;0;0;12454
"ZDROWIE";46;"Ochrona zdrowia";851;"Inspekcja do Spraw Substancji i Preparatów Chemicznych";85134;"";"";0;0;3931;0;0;0;0;3931
"ZDROWIE";46;"Ochrona zdrowia";851;"Urząd Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych";85137;"";"";0;40;46033;600;0;0;0;46673
"ZDROWIE";46;"Ochrona zdrowia";851;"Dopłaty do oprocentowania  kredytów udzielanych lekarzom, lekarzom dentystom, pielęgniarkom i położnym oraz umorzenia tych kredytów";85138;"";"";1000;0;0;0;0;0;0;1000
"ZDROWIE";46;"Ochrona zdrowia";851;"Ratownictwo medyczne";85141;"";"";75409;0;0;3926;0;0;0;79335
"ZDROWIE";46;"Ochrona zdrowia";851;"Publiczna służba krwi";85143;"";"";83560;23;2324;1000;0;61;0;86968
"ZDROWIE";46;"Ochrona zdrowia";851;"Medycyna pracy";85148;"";"";0;0;1125;0;0;0;0;1125
"ZDROWIE";46;"Ochrona zdrowia";851;"Programy polityki zdrowotnej";85149;"";"";0;0;352821;265135;0;0;0;617956
"ZDROWIE";46;"Ochrona zdrowia";851;"Świadczenia wysokospecjalistyczne";85151;"";"";0;0;309545;0;0;0;0;309545
"ZDROWIE";46;"Ochrona zdrowia";851;"Zapobieganie i zwalczanie AIDS";85152;"";"";1336;95;4123;150;0;0;0;5704
"ZDROWIE";46;"Ochrona zdrowia";851;"Zwalczanie narkomanii ";85153;"";"";5553;0;3607;60;0;0;0;9220
"ZDROWIE";46;"Ochrona zdrowia";851;"Przeciwdziałanie  alkoholizmowi";85154;"";"";997;0;4888;0;0;0;0;5885
"ZDROWIE";46;"Ochrona zdrowia";851;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";85156;"";"";207812;0;0;0;0;0;0;207812
"ZDROWIE";46;"Ochrona zdrowia";851;"Pozostała działalność";85195;"";"";25718;728;146220;3339;0;68881;0;244886
"ZDROWIE";46;"Kultura i ochrona dziedzictwa narodowego";921;"";"";"";"";8705;0;0;0;0;0;0;8705
"ZDROWIE";46;"Kultura i ochrona dziedzictwa narodowego";921;"Biblioteki";92116;"";"";8705;0;0;0;0;0;0;8705
"URZĄD ZAMÓWIEŃ PUBLICZNYCH";49;"";"";"";"";"";"";0;9;18720;150;0;1747;0;20626
"URZĄD ZAMÓWIEŃ PUBLICZNYCH";49;"Administracja publiczna";750;"";"";"";"";0;9;18720;150;0;1747;0;20626
"Administracja publiczna";750;"URZĄD ZAMÓWIEŃ PUBLICZNYCH";49;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;9;18680;150;0;1747;0;20586
"Administracja publiczna";750;"URZĄD ZAMÓWIEŃ PUBLICZNYCH";49;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;40;0;0;0;0;40
"URZĄD REGULACJI ENERGETYKI";50;"";"";"";"";"";"";0;5;34079;246;0;0;0;34330
"URZĄD REGULACJI ENERGETYKI";50;"Administracja publiczna";750;"";"";"";"";0;5;34079;246;0;0;0;34330
"URZĄD REGULACJI ENERGETYKI";50;"Administracja publiczna";750;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;5;34079;246;0;0;0;34330
"KRAJOWA RADA SĄDOWNICTWA";52;"";"";"";"";"";"";0;1670;9229;289;0;0;0;11188
"KRAJOWA RADA SĄDOWNICTWA";52;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"";"";"";"";0;1670;9229;289;0;0;0;11188
"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"KRAJOWA RADA SĄDOWNICTWA";52;"Krajowa Rada Sądownictwa";75104;"";"";0;1670;9229;289;0;0;0;11188
"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";53;"";"";"";"";"";"";1700;63;46423;3330;0;960;0;52476
"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";53;"Administracja publiczna";750;"";"";"";"";1700;63;46419;3330;0;960;0;52472
"Administracja publiczna";750;"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";53;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;63;45983;3330;0;960;0;50336
"Administracja publiczna";750;"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";53;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;436;0;0;0;0;436
"Administracja publiczna";750;"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";53;"Pozostała działalność";75095;"";"";1700;0;0;0;0;0;0;1700
"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";53;"Obrona narodowa";752;"";"";"";"";0;0;4;0;0;0;0;4
"Obrona narodowa";752;"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";53;"Pozostałe wydatki obronne";75212;"";"";0;0;4;0;0;0;0;4
"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"";"";"";"";"";"";1800;9505;17743;100;0;0;0;29148
"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Administracja publiczna";750;"";"";"";"";0;5;14204;100;0;0;0;14309
"Administracja publiczna";750;"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;5;14204;100;0;0;0;14309
"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Obrona narodowa";752;"";"";"";"";0;0;1;0;0;0;0;1
"Obrona narodowa";752;"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Pozostałe wydatki obronne";75212;"";"";0;0;1;0;0;0;0;1
"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Ochrona zdrowia";851;"";"";"";"";0;0;16;0;0;0;0;16
"RYBOŁÓWSTWO";62;"Rybołówstwo i rybactwo";50;"Pozostała działalność";5095;"";"";5650;10;1416;0;0;0;0;7076
"Ochrona zdrowia";851;"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";85156;"";"";0;0;16;0;0;0;0;16
"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Pozostałe zadania w zakresie polityki społecznej";853;"";"";"";"";1000;9500;3522;0;0;0;0;14022
"Pozostałe zadania w zakresie polityki społecznej";853;"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Państwowy Fundusz Kombatantów";85323;"";"";1000;9500;3522;0;0;0;0;14022
"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Kultura i ochrona dziedzictwa narodowego";921;"";"";"";"";800;0;0;0;0;0;0;800
"Kultura i ochrona dziedzictwa narodowego";921;"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";54;"Pozostała działalność";92195;"";"";800;0;0;0;0;0;0;800
"CENTRALNE BIURO ANTYKORUPCYJNE";56;"";"";"";"";"";"";0;1822;94041;11108;0;0;0;106971
"CENTRALNE BIURO ANTYKORUPCYJNE";56;"Obrona narodowa";752;"";"";"";"";0;0;10;0;0;0;0;10
"Obrona narodowa";752;"CENTRALNE BIURO ANTYKORUPCYJNE";56;"Pozostałe wydatki obronne";75212;"";"";0;0;10;0;0;0;0;10
"CENTRALNE BIURO ANTYKORUPCYJNE";56;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"";"";"";"";0;1822;94031;11108;0;0;0;106961
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"CENTRALNE BIURO ANTYKORUPCYJNE";56;"Centralne Biuro Antykorupcyjne";75420;"";"";0;1822;94031;11108;0;0;0;106961
"AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO";57;"";"";"";"";"";"";0;20177;469049;13000;0;81;0;502307
"AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO";57;"Administracja publiczna";750;"";"";"";"";0;0;4592;0;0;0;0;4592
"Administracja publiczna";750;"AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO";57;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;4592;0;0;0;0;4592
"AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO";57;"Obrona narodowa";752;"";"";"";"";0;0;33;0;0;0;0;33
"AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO";57;"Obrona narodowa";752;"Pozostałe wydatki obronne";75212;"";"";0;0;33;0;0;0;0;33
"AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO";57;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"";"";"";"";0;20177;464424;13000;0;81;0;497682
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO";57;"Agencja Bezpieczeństwa  Wewnętrznego";75418;"";"";0;20177;464424;13000;0;81;0;497682
"GŁÓWNY URZĄD STATYSTYCZNY";58;"";"";"";"";"";"";87500;94117;473384;32820;0;6561;0;694382
"GŁÓWNY URZĄD STATYSTYCZNY";58;"Przetwórstwo przemysłowe";150;"";"";"";"";0;24;8551;60;0;0;0;8635
"Przetwórstwo przemysłowe";150;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Drukarnie";15001;"";"";0;24;8551;60;0;0;0;8635
"GŁÓWNY URZĄD STATYSTYCZNY";58;"Informatyka";720;"";"";"";"";0;216;180030;43;0;0;0;180289
"Informatyka";720;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Zakłady techniki obliczeniowej";72001;"";"";0;39;19393;0;0;0;0;19432
"Informatyka";720;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Inne jednostki usług informatycznych";72002;"";"";0;177;160637;43;0;0;0;160857
"GŁÓWNY URZĄD STATYSTYCZNY";58;"Administracja publiczna";750;"";"";"";"";87500;93877;284793;32717;0;6561;0;505448
"Administracja publiczna";750;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;420;65020;1629;0;5455;0;72524
"Administracja publiczna";750;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej";75007;"";"";0;138;103319;881;0;0;0;104338
"Administracja publiczna";750;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Spis powszechny i inne";75056;"";"";87500;93305;114628;30167;0;1106;0;326706
"Administracja publiczna";750;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;419;0;0;0;0;419
"Administracja publiczna";750;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Pozostała działalność";75095;"";"";0;14;1407;40;0;0;0;1461
"GŁÓWNY URZĄD STATYSTYCZNY";58;"Obrona narodowa";752;"";"";"";"";0;0;10;0;0;0;0;10
"Obrona narodowa";752;"GŁÓWNY URZĄD STATYSTYCZNY";58;"Pozostałe wydatki obronne";75212;"";"";0;0;10;0;0;0;0;10
"AGENCJA WYWIADU";59;"";"";"";"";"";"";0;4799;128047;22880;0;0;0;155726
"AGENCJA WYWIADU";59;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"";"";"";"";0;4799;128047;22880;0;0;0;155726
"AGENCJA WYWIADU";59;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"Agencja Wywiadu";75419;"";"";0;4799;128047;22880;0;0;0;155726
"WYŻSZY URZĄD GÓRNICZY";60;"";"";"";"";"";"";0;43;51811;900;0;0;0;52754
"WYŻSZY URZĄD GÓRNICZY";60;"Administracja publiczna";750;"";"";"";"";0;43;51811;900;0;0;0;52754
"Administracja publiczna";750;"WYŻSZY URZĄD GÓRNICZY";60;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;43;19219;900;0;0;0;20162
"Administracja publiczna";750;"WYŻSZY URZĄD GÓRNICZY";60;"Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej";75007;"";"";0;0;32578;0;0;0;0;32578
"Administracja publiczna";750;"WYŻSZY URZĄD GÓRNICZY";60;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;14;0;0;0;0;14
"URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ";61;"";"";"";"";"";"";0;100;46684;300;0;0;0;47084
"URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ";61;"Administracja publiczna";750;"";"";"";"";0;100;46683;300;0;0;0;47083
"Administracja publiczna";750;"URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ";61;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;100;46255;300;0;0;0;46655
"Administracja publiczna";750;"URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ";61;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;428;0;0;0;0;428
"URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ";61;"Obrona narodowa";752;"";"";"";"";0;0;1;0;0;0;0;1
"Obrona narodowa";752;"URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ";61;"Pozostałe wydatki obronne";75212;"";"";0;0;1;0;0;0;0;1
"RYBOŁÓWSTWO";62;"";"";"";"";"";"";5650;189;24573;3436;0;143254;0;177102
"RYBOŁÓWSTWO";62;"Rybołówstwo i rybactwo";50;"";"";"";"";5650;180;17295;416;0;127910;0;151451
"RYBOŁÓWSTWO";62;"Rybołówstwo i rybactwo";50;"Inspektoraty rybołówstwa morskiego";5004;"";"";0;170;11015;416;0;1375;0;12976
"RYBOŁÓWSTWO";62;"Rybołówstwo i rybactwo";50;"Zarybianie polskich obszarów morskich";5006;"";"";0;0;4864;0;0;0;0;4864
"RYBOŁÓWSTWO";62;"Rybołówstwo i rybactwo";50;"Program Operacyjny Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007-2013";5011;"";"";0;0;0;0;0;126535;0;126535
"RYBOŁÓWSTWO";62;"Administracja publiczna";750;"";"";"";"";0;9;7273;3020;0;15344;0;25646
"RYBOŁÓWSTWO";62;"Administracja publiczna";750;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;9;7020;3020;0;15344;0;25393
"RYBOŁÓWSTWO";62;"Administracja publiczna";750;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;253;0;0;0;0;253
"RYBOŁÓWSTWO";62;"Obrona narodowa";752;"";"";"";"";0;0;5;0;0;0;0;5
"RYBOŁÓWSTWO";62;"Obrona narodowa";752;"Pozostałe wydatki obronne";75212;"";"";0;0;5;0;0;0;0;5
"RODZINA";63;"";"";"";"";"";"";8100;6;5141;0;0;0;0;13247
"RODZINA";63;"Administracja publiczna";750;"";"";"";"";300;6;5141;0;0;0;0;5447
"Administracja publiczna";750;"RODZINA";63;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;6;4525;0;0;0;0;4531
"Administracja publiczna";750;"RODZINA";63;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;366;0;0;0;0;366
"Administracja publiczna";750;"RODZINA";63;"Pozostała działalność";75095;"";"";300;0;250;0;0;0;0;550
"RODZINA";63;"Pomoc społeczna";852;"";"";"";"";7800;0;0;0;0;0;0;7800
"Pomoc społeczna";852;"RODZINA";63;"Pozostała działalność";85295;"";"";7800;0;0;0;0;0;0;7800
"GŁÓWNY URZĄD MIAR";64;"";"";"";"";"";"";0;324;122999;3308;0;0;0;126631
"GŁÓWNY URZĄD MIAR";64;"Administracja publiczna";750;"";"";"";"";0;324;122997;3308;0;0;0;126629
"Administracja publiczna";750;"GŁÓWNY URZĄD MIAR";64;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;62;32552;1559;0;0;0;34173
"Administracja publiczna";750;"GŁÓWNY URZĄD MIAR";64;"Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej";75007;"";"";0;262;90445;1749;0;0;0;92456
"GŁÓWNY URZĄD MIAR";64;"Obrona narodowa";752;"";"";"";"";0;0;2;0;0;0;0;2
"Obrona narodowa";752;"GŁÓWNY URZĄD MIAR";64;"Pozostałe wydatki obronne";75212;"";"";0;0;2;0;0;0;0;2
"POLSKI KOMITET NORMALIZACYJNY";65;"";"";"";"";"";"";0;34;28178;5312;0;0;0;33524
"POLSKI KOMITET NORMALIZACYJNY";65;"Administracja publiczna";750;"";"";"";"";0;34;28174;5312;0;0;0;33520
"Administracja publiczna";750;"POLSKI KOMITET NORMALIZACYJNY";65;"Polski Komitet Normalizacyjny";75002;"";"";0;34;28174;5312;0;0;0;33520
"POLSKI KOMITET NORMALIZACYJNY";65;"Obrona narodowa";752;"";"";"";"";0;0;4;0;0;0;0;4
"POLSKI KOMITET NORMALIZACYJNY";65;"Obrona narodowa";752;"Pozostałe wydatki obronne";75212;"";"";0;0;4;0;0;0;0;4
"RZECZNIK PRAW PACJENTA";66;"";"";"";"";"";"";0;2;6439;150;0;0;0;6591
"RZECZNIK PRAW PACJENTA";66;"Administracja publiczna";750;"";"";"";"";0;2;6439;150;0;0;0;6591
"Administracja publiczna";750;"RZECZNIK PRAW PACJENTA";66;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;2;6439;150;0;0;0;6591
"POLSKA AKADEMIA NAUK";67;"";"";"";"";"";"";79924;0;0;186;0;0;0;80110
"POLSKA AKADEMIA NAUK";67;"Nauka";730;"";"";"";"";79924;0;0;186;0;0;0;80110
"Nauka";730;"POLSKA AKADEMIA NAUK";67;"Działalność organów i korporacji uczonych Polskiej Akademii Nauk";73010;"";"";13020;0;0;0;0;0;0;13020
"Nauka";730;"POLSKA AKADEMIA NAUK";67;"Działalność pomocniczych jednostek naukowych i innych jednostek organizacyjnych  Polskiej Akademii Nauk";73011;"";"";45773;0;0;50;0;0;0;45823
"Nauka";730;"POLSKA AKADEMIA NAUK";67;"Pozostała działalność";73095;"";"";21131;0;0;136;0;0;0;21267
"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"";"";"";"";"";"";8129;390;91774;404;0;0;0;100697
"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Przetwórstwo przemysłowe";150;"";"";"";"";8129;335;3;224;0;0;0;8691
"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Przetwórstwo przemysłowe";150;"Zadania w zakresie bezpiecznego wykorzystania energii atomowej";15004;"";"";8129;0;0;224;0;0;0;8353
"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Przetwórstwo przemysłowe";150;"Pozostała działalność";15095;"";"";0;335;3;0;0;0;0;338
"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Administracja publiczna";750;"";"";"";"";0;55;91766;180;0;0;0;92001
"Administracja publiczna";750;"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;55;91460;180;0;0;0;91695
"Administracja publiczna";750;"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;106;0;0;0;0;106
"Administracja publiczna";750;"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Pozostała działalność";75095;"";"";0;0;200;0;0;0;0;200
"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Obrona narodowa";752;"";"";"";"";0;0;5;0;0;0;0;5
"Obrona narodowa";752;"PAŃSTWOWA AGENCJA ATOMISTYKI";68;"Pozostałe wydatki obronne";75212;"";"";0;0;5;0;0;0;0;5
"KOMISJA NADZORU FINANSOWEGO";70;"";"";"";"";"";"";0;30;184944;17700;0;470;0;203144
"KOMISJA NADZORU FINANSOWEGO";70;"Różne rozliczenia";758;"";"";"";"";0;30;184944;17700;0;470;0;203144
"KOMISJA NADZORU FINANSOWEGO";70;"Różne rozliczenia";758;"Komisja Nadzoru Finansowego";75821;"";"";0;30;184944;17700;0;470;0;203144
"URZĄD TRANSPORTU  KOLEJOWEGO";71;"";"";"";"";"";"";0;30;17632;346;0;0;0;18008
"URZĄD TRANSPORTU  KOLEJOWEGO";71;"Administracja publiczna";750;"";"";"";"";0;30;17632;346;0;0;0;18008
"Administracja publiczna";750;"URZĄD TRANSPORTU  KOLEJOWEGO";71;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;30;17632;346;0;0;0;18008
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"";"";"";"";"";"";15137384;652157;22119;0;0;0;0;15811660
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Obrona narodowa";752;"";"";"";"";0;0;10;0;0;0;0;10
"Obrona narodowa";752;"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Pozostałe wydatki obronne";75212;"";"";0;0;10;0;0;0;0;10
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Obowiązkowe ubezpieczenia społeczne";753;"";"";"";"";15137384;652097;0;0;0;0;0;15789481
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Obowiązkowe ubezpieczenia społeczne";753;"Fundusz Emerytalno-Rentowy";75305;"";"";15120037;0;0;0;0;0;0;15120037
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Obowiązkowe ubezpieczenia społeczne";753;"Fundusz Prewencji i Rehabilitacji";75306;"";"";1000;0;0;0;0;0;0;1000
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Obowiązkowe ubezpieczenia społeczne";753;"Świadczenia finansowane z budżetu państwa zlecone do wypłaty Zakładowi Ubezpieczeń Społecznych i Kasie Rolniczego Ubezpieczenia Społecznego";75313;"";"";16347;652097;0;0;0;0;0;668444
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Ochrona zdrowia";851;"";"";"";"";0;0;22109;0;0;0;0;22109
"Ochrona zdrowia";851;"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";85156;"";"";0;0;22109;0;0;0;0;22109
"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Pozostałe zadania w zakresie polityki społecznej";853;"";"";"";"";0;60;0;0;0;0;0;60
"Pozostałe zadania w zakresie polityki społecznej";853;"KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO";72;"Refundacja ulg dla inwalidów wojennych i wojskowych z tytułu ubezpieczenia OC i AC";85335;"";"";0;60;0;0;0;0;0;60
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"";"";"";"";"";"";37210598;5359003;2007486;0;0;0;0;44577087
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Obowiązkowe ubezpieczenia społeczne";753;"";"";"";"";37161745;3507851;1741262;0;0;0;0;42410858
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Obowiązkowe ubezpieczenia społeczne";753;"Fundusz Ubezpieczeń Społecznych";75303;"";"";37134406;0;0;0;0;0;0;37134406
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Obowiązkowe ubezpieczenia społeczne";753;"Składki na ubezpieczenia społeczne";75309;"";"";0;0;1741206;0;0;0;0;1741206
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Obowiązkowe ubezpieczenia społeczne";753;"Świadczenia finansowane z budżetu państwa zlecone do wypłaty Zakładowi Ubezpieczeń Społecznych i Kasie Rolniczego Ubezpieczenia Społecznego";75313;"";"";27339;3507232;53;0;0;0;0;3534624
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Obowiązkowe ubezpieczenia społeczne";753;"Pozostała działalność";75395;"";"";0;619;3;0;0;0;0;622
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Ochrona zdrowia";851;"";"";"";"";0;0;266192;0;0;0;0;266192
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Ochrona zdrowia";851;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";85156;"";"";0;0;266192;0;0;0;0;266192
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Pozostałe zadania w zakresie polityki społecznej";853;"";"";"";"";48853;1851152;32;0;0;0;0;1900037
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Pozostałe zadania w zakresie polityki społecznej";853;"Refundacja ulg dla inwalidów wojennych i wojskowych z tytułu ubezpieczenia OC i AC";85335;"";"";0;651;0;0;0;0;0;651
"ZAKŁAD UBEZPIECZEŃ  SPOŁECZNYCH";73;"Pozostałe zadania w zakresie polityki społecznej";853;"Renta socjalna";85347;"";"";48853;1850501;32;0;0;0;0;1899386
"PROKURATORIA  GENERALNA SKARBU PAŃSTWA";74;"";"";"";"";"";"";0;5;40354;245;0;0;0;40604
"PROKURATORIA  GENERALNA SKARBU PAŃSTWA";74;"Administracja publiczna";750;"";"";"";"";0;5;40350;245;0;0;0;40600
"Administracja publiczna";750;"PROKURATORIA  GENERALNA SKARBU PAŃSTWA";74;"Prokuratoria Generalna Skarbu Państwa";75003;"";"";0;5;40350;245;0;0;0;40600
"PROKURATORIA  GENERALNA SKARBU PAŃSTWA";74;"Obrona narodowa";752;"";"";"";"";0;0;4;0;0;0;0;4
