"Część";"Numer części";"Część";"Numer części";"Dział";"Numer działu";"Rozdział";"Numer rozdziału";"Dotacje i subwencje";"Świadczenia na rzecz osób fizycznych";"Wydatki bieżące jednostek budżetowych";"Wydatki majątkowe";"Wydatki na obsługę długu Skarbu Państwa";"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Środki własne Unii Europejskiej";"Ogółem (w tys. zł.)"
"TURYSTYKA";40;"Obrona narodowa";752;"Pozostałe wydatki obronne";75212;"";"";0;0;10;0;0;0;0;10
"ŚRODOWISKO";41;"";"";"";"";"";"";4220;3610;287548;3913;0;180754;0;480045
"ŚRODOWISKO";41;"Leśnictwo";20;"";"";"";"";4220;5;1242;183;0;3193;0;8843
"Leśnictwo";20;"ŚRODOWISKO";41;"Biuro Nasiennictwa Leśnego";2003;"";"";0;5;1242;183;0;0;0;1430
"Leśnictwo";20;"ŚRODOWISKO";41;"Pozostała działalność";2095;"";"";4220;0;0;0;0;3193;0;7413
"ŚRODOWISKO";41;"Działalność usługowa";710;"";"";"";"";0;0;2818;0;0;0;0;2818
"Działalność usługowa";710;"ŚRODOWISKO";41;"Prace geologiczne (nieinwestycyjne)";71005;"";"";0;0;960;0;0;0;0;960
"Działalność usługowa";710;"ŚRODOWISKO";41;"Pozostała działalność";71095;"";"";0;0;1858;0;0;0;0;1858
"ŚRODOWISKO";41;"Administracja publiczna";750;"";"";"";"";0;22;52122;1000;0;9829;0;62973
"Administracja publiczna";750;"ŚRODOWISKO";41;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;15;49814;1000;0;9829;0;60658
"Administracja publiczna";750;"ŚRODOWISKO";41;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;2208;0;0;0;0;2208
"Administracja publiczna";750;"ŚRODOWISKO";41;"Pozostała działalność";75095;"";"";0;7;100;0;0;0;0;107
"ŚRODOWISKO";41;"Obrona narodowa";752;"";"";"";"";0;0;182;0;0;0;0;182
"Obrona narodowa";752;"ŚRODOWISKO";41;"Pozostałe wydatki obronne";75212;"";"";0;0;182;0;0;0;0;182
"ŚRODOWISKO";41;"Oświata i wychowanie";801;"";"";"";"";0;711;28815;1228;0;0;0;30754
"Oświata i wychowanie";801;"ŚRODOWISKO";41;"Szkoły zawodowe";80130;"";"";0;515;24897;1209;0;0;0;26621
